epoch,accuracy,dice_coeff,iou_score,learning_rate,loss,precision,recall,val_accuracy,val_dice_coeff,val_iou_score,val_loss,val_precision,val_recall
10,0.9213743805885315,0.926863968372345,0.9108999967575073,4.999999873689376e-05,0.2810152769088745,0.9283612966537476,0.9798094034194946,0.9044684171676636,0.9160712361335754,0.8911588788032532,0.33104407787323,0.9034571647644043,0.9849460124969482
11,0.9227200746536255,0.9289392232894897,0.9123155474662781,4.999999873689376e-05,0.27532538771629333,0.9295408129692078,0.9801322817802429,0.9072041511535645,0.9173281788825989,0.8938066959381104,0.32390472292900085,0.9072129726409912,0.983722984790802
12,0.9239957332611084,0.9306824207305908,0.9136536121368408,4.999999873689376e-05,0.2703079879283905,0.9307317137718201,0.9803470969200134,0.9097750186920166,0.9116519689559937,0.8952773213386536,0.3272583484649658,0.9191630482673645,0.9717713594436646
13,0.9249647259712219,0.9320192337036133,0.9146822690963745,4.999999873689376e-05,0.26634857058525085,0.9316841959953308,0.9804769158363342,0.9098068475723267,0.9177412986755371,0.8962811827659607,0.3157268464565277,0.9114336967468262,0.9817742705345154
14,0.9259185194969177,0.9331452250480652,0.9156853556632996,4.999999873689376e-05,0.26264041662216187,0.9326026439666748,0.9806240797042847,0.9119560122489929,0.9167429208755493,0.897954523563385,0.3117349147796631,0.9179164171218872,0.9763308763504028
15,0.9267706274986267,0.9341474175453186,0.9165499210357666,4.999999873689376e-05,0.25931617617607117,0.9336774349212646,0.9804201722145081,0.9125989079475403,0.9213114976882935,0.8985910415649414,0.30943650007247925,0.9189760684967041,0.9758899211883545
16,0.9274936318397522,0.9349797964096069,0.9172998666763306,4.999999873689376e-05,0.2564745843410492,0.934410810470581,0.9804772138595581,0.9122722148895264,0.9219298362731934,0.8983213901519775,0.30660125613212585,0.9180077910423279,0.9766640663146973
17,0.9280601739883423,0.9357883334159851,0.9178871512413025,4.999999873689376e-05,0.2537083327770233,0.9351053237915039,0.9803797602653503,0.9130190014839172,0.9234817624092102,0.8988552689552307,0.32959961891174316,0.9207682013511658,0.974186897277832
18,0.9288588166236877,0.9366108179092407,0.918732225894928,4.999999873689376e-05,0.2507433593273163,0.9359931349754333,0.9803464412689209,0.9133697152137756,0.9183343052864075,0.8994032740592957,0.30313074588775635,0.9196457862854004,0.9760922193527222
19,0.9293245077133179,0.9372293949127197,0.9192052483558655,4.999999873689376e-05,0.24875417351722717,0.9366304874420166,0.9802016615867615,0.9137136936187744,0.922548770904541,0.9000400304794312,0.2983357906341553,0.9177601337432861,0.9789800643920898
20,0.9298096895217896,0.9378525614738464,0.919711709022522,4.999999873689376e-05,0.24647243320941925,0.9371585845947266,0.9802004098892212,0.9136033058166504,0.9235485792160034,0.8998944163322449,0.3010580241680145,0.9180526733398438,0.9784749746322632
21,0.93019700050354,0.9383267760276794,0.9201082587242126,4.999999873689376e-05,0.2450672686100006,0.9377292990684509,0.980021059513092,0.9143207669258118,0.9243597984313965,0.9005883932113647,0.2960648834705353,0.9191014766693115,0.9781074523925781
22,0.9305451512336731,0.9387872219085693,0.9204705953598022,2.499999936844688e-05,0.24327974021434784,0.9380676746368408,0.9800596833229065,0.9146726131439209,0.9262502193450928,0.9011686444282532,0.2944401502609253,0.9176993370056152,0.9803815484046936
23,0.9307951927185059,0.9390208125114441,0.9207317233085632,2.499999936844688e-05,0.2423655390739441,0.9384437799453735,0.979945957660675,0.9144430756568909,0.9248819351196289,0.9009018540382385,0.2955513894557953,0.9176731705665588,0.980100691318512
24,0.9310718774795532,0.9391624927520752,0.92100989818573,2.499999936844688e-05,0.24144865572452545,0.938815176486969,0.9798491597175598,0.9136625528335571,0.9239189028739929,0.8997028470039368,0.2988679111003876,0.9201245903968811,0.9759038686752319
25,0.931260883808136,0.939608097076416,0.9212235808372498,2.499999936844688e-05,0.2404138147830963,0.9390153884887695,0.9798654317855835,0.9148182272911072,0.9249204397201538,0.9008874893188477,0.2938419580459595,0.9214698672294617,0.9757858514785767
